time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.014092,-0.0092,0.0213,0.0354,0.042
0.034065,0.0004,-0.0220,0.0258,0.034
0.054208,0.0147,-0.0267,0.0354,0.047
0.073509,-0.0044,0.0166,0.0354,0.039
0.093468,-0.0138,0.0399,0.0449,0.062
0.112874,0.0197,0.0070,0.0497,0.054
0.133759,0.0052,-0.0313,0.0449,0.055
0.152134,-0.0091,-0.0218,0.0402,0.047
0.173160,0.0053,-0.0028,0.0354,0.036
0.190133,0.0003,0.0164,0.0449,0.048
0.212832,0.0004,-0.0124,0.0401,0.042
0.229934,0.0100,-0.0365,0.0354,0.052
0.252370,-0.0043,-0.0078,0.0210,0.023
0.269184,0.0006,0.0114,0.0306,0.033
0.291896,0.0008,0.0067,0.0354,0.036
0.308968,0.0200,-0.0126,0.0401,0.047
0.331610,0.0200,-0.0173,0.0258,0.037
0.348597,0.0200,-0.0077,0.0306,0.037
0.370495,-0.0087,0.0114,0.0354,0.038
0.388328,-0.0131,-0.0030,0.0306,0.033
0.408179,0.0059,-0.0270,0.0354,0.045
0.428118,0.0012,-0.0175,0.0401,0.044
0.450511,0.0108,0.0113,0.0353,0.039
0.468714,0.0014,0.0065,0.0497,0.050
0.490010,0.0014,-0.0029,0.0258,0.026
0.508081,-0.0152,-0.0011,0.0449,0.047
0.530597,-0.0150,0.0037,0.0449,0.048
0.548038,-0.0150,-0.0059,0.0114,0.020
0.569525,-0.0104,0.0038,0.0306,0.033
0.587527,0.0038,-0.0249,0.0449,0.051
0.609325,-0.0203,-0.0154,0.0258,0.036
0.627333,-0.0205,0.0040,0.0449,0.050
0.648975,-0.0202,0.0280,0.0449,0.057
0.666063,-0.0206,0.0039,0.0258,0.033
0.688243,-0.0013,-0.0106,0.0497,0.051
0.705629,-0.0156,0.0037,0.0354,0.039
0.725439,-0.0296,-0.0057,0.0497,0.058
0.745702,-0.0151,-0.0010,0.0354,0.038
0.766033,-0.0200,-0.0156,0.0258,0.036
0.785415,-0.0198,-0.0157,0.0306,0.040
